run_id,stream,file,create_utc,write_utc,bytes
20260714.112046,ForwardRight,000000254000.jpg,2026-07-14T15:29:24.882Z,2026-07-14T15:29:24.884Z,522641
20260714.112046,ForwardRight,000000254500.jpg,2026-07-14T15:29:25.424Z,2026-07-14T15:29:25.424Z,522848
20260714.112046,ForwardRight,000000255000.jpg,2026-07-14T15:29:25.884Z,2026-07-14T15:29:25.889Z,523443
20260714.112046,ForwardRight,000000255500.jpg,2026-07-14T15:29:26.319Z,2026-07-14T15:29:26.325Z,519145
20260714.112046,ForwardRight,000000256000.jpg,2026-07-14T15:29:26.734Z,2026-07-14T15:29:26.738Z,521025
20260714.112046,ForwardRight,000000256500.jpg,2026-07-14T15:29:27.137Z,2026-07-14T15:29:27.137Z,523227
20260714.112046,ForwardRight,000000257000.jpg,2026-07-14T15:29:27.522Z,2026-07-14T15:29:27.528Z,523097
20260714.112046,ForwardRight,000000257500.jpg,2026-07-14T15:29:27.929Z,2026-07-14T15:29:27.929Z,531633
20260714.112046,ForwardRight,000000258000.jpg,2026-07-14T15:29:28.299Z,2026-07-14T15:29:28.299Z,533775
20260714.112046,ForwardRight,000000258500.jpg,2026-07-14T15:29:28.686Z,2026-07-14T15:29:28.692Z,537997
20260714.112046,ForwardRight,000000259000.jpg,2026-07-14T15:29:29.097Z,2026-07-14T15:29:29.102Z,535266
20260714.112046,ForwardRight,000000259500.jpg,2026-07-14T15:29:29.543Z,2026-07-14T15:29:29.543Z,540878
20260714.112046,ForwardRight,000000260000.jpg,2026-07-14T15:29:29.983Z,2026-07-14T15:29:29.988Z,547843
20260714.112046,ForwardRight,000000260500.jpg,2026-07-14T15:29:30.575Z,2026-07-14T15:29:30.581Z,547823
20260714.112046,ForwardRight,000000261000.jpg,2026-07-14T15:29:31.276Z,2026-07-14T15:29:31.276Z,558034
20260714.112046,ForwardRight,000000261500.jpg,2026-07-14T15:29:31.972Z,2026-07-14T15:29:31.972Z,562830
20260714.112046,ForwardRight,000000262000.jpg,2026-07-14T15:29:32.724Z,2026-07-14T15:29:32.724Z,575733
20260714.112046,ForwardRight,000000262500.jpg,2026-07-14T15:29:33.507Z,2026-07-14T15:29:33.510Z,557897
20260714.112046,ForwardRight,000000263000.jpg,2026-07-14T15:29:34.421Z,2026-07-14T15:29:34.421Z,478708
20260714.112046,ForwardRight,000000263500.jpg,2026-07-14T15:29:35.273Z,2026-07-14T15:29:35.279Z,433214
20260714.112046,ForwardRight,000000264000.jpg,2026-07-14T15:29:36.360Z,2026-07-14T15:29:36.360Z,397524
20260714.112046,ForwardRight,000000264500.jpg,2026-07-14T15:29:37.651Z,2026-07-14T15:29:37.653Z,391524
20260714.112046,ForwardRight,000000265000.jpg,2026-07-14T15:29:38.443Z,2026-07-14T15:29:38.445Z,411803
20260714.112046,ForwardRight,000000265500.jpg,2026-07-14T15:29:39.225Z,2026-07-14T15:29:39.229Z,412908
20260714.112046,ForwardRight,000000266000.jpg,2026-07-14T15:29:39.988Z,2026-07-14T15:29:39.991Z,424579
20260714.112046,ForwardRight,000000266500.jpg,2026-07-14T15:29:40.843Z,2026-07-14T15:29:40.843Z,418355
20260714.112046,ForwardRight,000000267000.jpg,2026-07-14T15:29:41.582Z,2026-07-14T15:29:41.582Z,413194
20260714.112046,ForwardRight,000000267500.jpg,2026-07-14T15:29:42.350Z,2026-07-14T15:29:42.353Z,428328
20260714.112046,ForwardRight,000000268000.jpg,2026-07-14T15:29:43.083Z,2026-07-14T15:29:43.085Z,416093
20260714.112046,ForwardRight,000000268500.jpg,2026-07-14T15:29:43.774Z,2026-07-14T15:29:43.778Z,426669
20260714.112046,ForwardRight,000000269000.jpg,2026-07-14T15:29:44.212Z,2026-07-14T15:29:44.212Z,474335
20260714.112046,ForwardRight,000000269500.jpg,2026-07-14T15:30:17.307Z,2026-07-14T15:30:17.309Z,650268
20260714.112046,ForwardRight,000000270000.jpg,2026-07-14T15:30:17.767Z,2026-07-14T15:30:17.770Z,683902
20260714.112046,ForwardRight,000000270500.jpg,2026-07-14T15:30:18.271Z,2026-07-14T15:30:18.271Z,720315
20260714.112046,ForwardRight,000000271000.jpg,2026-07-14T15:30:18.837Z,2026-07-14T15:30:18.837Z,713890
20260714.112046,ForwardRight,000000271500.jpg,2026-07-14T15:30:19.098Z,2026-07-14T15:30:19.098Z,700392
20260714.112046,ForwardRight,000000272000.jpg,2026-07-14T15:30:19.280Z,2026-07-14T15:30:19.283Z,696677
20260714.112046,ForwardRight,000000272500.jpg,2026-07-14T15:30:19.439Z,2026-07-14T15:30:19.439Z,689995
20260714.112046,ForwardRight,000000273000.jpg,2026-07-14T15:30:21.515Z,2026-07-14T15:30:21.519Z,656947
20260714.112046,ForwardRight,000000273500.jpg,2026-07-14T15:30:21.947Z,2026-07-14T15:30:21.950Z,661834
20260714.112046,ForwardRight,000000274000.jpg,2026-07-14T15:30:22.348Z,2026-07-14T15:30:22.348Z,668617
20260714.112046,ForwardRight,000000274500.jpg,2026-07-14T15:30:22.753Z,2026-07-14T15:30:22.753Z,672483
20260714.112046,ForwardRight,000000275000.jpg,2026-07-14T15:30:23.167Z,2026-07-14T15:30:23.167Z,657063
20260714.112046,ForwardRight,000000275500.jpg,2026-07-14T15:30:23.510Z,2026-07-14T15:30:23.513Z,675259
20260714.112046,ForwardRight,000000276000.jpg,2026-07-14T15:30:23.925Z,2026-07-14T15:30:23.925Z,688656
20260714.112046,ForwardRight,000000276500.jpg,2026-07-14T15:30:24.453Z,2026-07-14T15:30:24.458Z,679402
20260714.112046,ForwardRight,000000277000.jpg,2026-07-14T15:30:24.853Z,2026-07-14T15:30:24.857Z,659853
20260714.112046,ForwardRight,000000277500.jpg,2026-07-14T15:30:25.360Z,2026-07-14T15:30:25.362Z,621765
20260714.112046,ForwardRight,000000278000.jpg,2026-07-14T15:30:30.620Z,2026-07-14T15:30:30.620Z,596409
20260714.112046,ForwardRight,000000278500.jpg,2026-07-14T15:30:31.125Z,2026-07-14T15:30:31.129Z,615687
20260714.112046,ForwardRight,000000279000.jpg,2026-07-14T15:30:31.629Z,2026-07-14T15:30:31.629Z,654854
20260714.112046,ForwardRight,000000279500.jpg,2026-07-14T15:30:32.126Z,2026-07-14T15:30:32.130Z,650516
20260714.112046,ForwardRight,000000280000.jpg,2026-07-14T15:30:32.597Z,2026-07-14T15:30:32.602Z,684507
20260714.112046,ForwardRight,000000280500.jpg,2026-07-14T15:30:33.132Z,2026-07-14T15:30:33.134Z,695026
20260714.112046,ForwardRight,000000281000.jpg,2026-07-14T15:30:33.623Z,2026-07-14T15:30:33.623Z,694895
20260714.112046,ForwardRight,000000281500.jpg,2026-07-14T15:30:34.029Z,2026-07-14T15:30:34.029Z,707805
20260714.112046,ForwardRight,000000282000.jpg,2026-07-14T15:30:36.010Z,2026-07-14T15:30:36.010Z,708506
20260714.112046,ForwardRight,000000282500.jpg,2026-07-14T15:30:36.418Z,2026-07-14T15:30:36.421Z,707654
20260714.112046,ForwardRight,000000283000.jpg,2026-07-14T15:30:37.110Z,2026-07-14T15:30:37.110Z,695333
20260714.112046,ForwardRight,000000283500.jpg,2026-07-14T15:30:39.397Z,2026-07-14T15:30:39.402Z,699303
20260714.112046,ForwardRight,000000284000.jpg,2026-07-14T15:30:39.879Z,2026-07-14T15:30:39.884Z,697873
20260714.112046,ForwardRight,000000284500.jpg,2026-07-14T15:30:40.341Z,2026-07-14T15:30:40.341Z,671848
20260714.112046,ForwardRight,000000285000.jpg,2026-07-14T15:30:40.784Z,2026-07-14T15:30:40.784Z,644588
